RICHIESTA N° PROT;RICHIESTA ANNO PROT;RICHIESTA DATA;PROCEDIMENTO;ESITO PRATICA;CHIUSURA PRATICA DATA;CODICE VIA;CIVICO;ESPONENTE CIVICO;LOCALIZZAZIONI LISTA
135817;2008;2008-05-29;permesso di costruire;Rilasciata;2008-06-26;5650;10;;VIA DELLA BATTAGLIA N.  10
142078;2008;2008-06-06;permesso di costruire;Rilasciata;2009-03-17;11850;4;;VIA DIONISIO CALVART N.  4
143642;2008;2008-06-09;permesso di costruire;Diniegata;2008-11-25;23500;49;;VIA DELLA FORNACE N.  49
160304;2008;2008-06-23;permesso di costruire;Rilasciata;2008-11-03;52900;6;;VIA RAFFAELLO SANZIO N.  6
161763;2008;2008-06-24;permesso di costruire;Rilasciata;2008-09-30;50900;6;;VIA ROMITA N.  6
163761;2008;2008-06-25;permesso di costruire;Rilasciata;2008-10-17;14000;8;;VIA VINCENZO CASCIAROLO N.  8 INTERNO 1
168704;2008;2008-06-30;permesso di costruire;Rilasciata;2008-11-11;60900;3;;VIA ANGELO VENTUROLI N.  3
169460;2008;2008-06-30;permesso di costruire;Rilasciata;2008-10-30;15730;3;;VIA DELLA CENTRALINISTA N.  3
170189;2008;2008-07-01;permesso di costruire;Rilasciata;2008-09-23;5800;91;;VIA BATTINDARNO N.  91
171522;2008;2008-07-02;permesso di costruire;Rilasciata;2008-10-24;2050;59;;VIA ANDREA DA FAENZA N.  59
171572;2008;2008-07-02;permesso di costruire;Decaduta;2010-12-14;30850;37;;VIA LARGA N.  37
176048;2008;2008-07-08;permesso di costruire;Rilasciata;2008-10-24;18150;8;;PIAZZA DELLA COSTITUZIONE N.  8
179814;2008;2008-07-11;permesso di costruire;Rilasciata con prescrizioni;2009-03-25;36250;8;;VIA MARZABOTTO N.  8
179837;2008;2008-07-11;permesso di costruire;Rinunciata;2008-11-26;58600;233;2;VIA TOSCANA N.  233 / 2
185352;2008;2008-07-18;permesso di costruire;Rilasciata;2008-09-30;47800;42;;VIA DEL PRATELLO N.  42
186246;2008;2008-07-21;permesso di costruire;Rilasciata;2008-11-17;52400;16;2;VIA AURELIO SAFFI N.  16 / 2
187047;2008;2008-07-22;permesso di costruire;Rilasciata;2009-03-05;37550;17;2;VIA GIOV.BATTISTA MELLONI N.  17 / 2
187634;2008;2008-07-22;permesso di costruire;Rilasciata;2008-12-04;20500;198;;VIA S.DONATO N.  198
210853;2008;2008-09-04;permesso di costruire;Rilasciata;2008-11-17;19550;;;VIA DE LA BIRRA  ( Civico da definire )
216238;2008;2008-09-11;permesso di costruire;Rilasciata;2008-12-18;21350;150;;VIA EMILIA LEVANTE N.  150
221178;2008;2008-09-16;permesso di costruire;Rilasciata con prescrizioni;2012-11-28;28350;;;VIA DEL GOMITO  ( Civico da definire )
221877;2008;2008-09-17;permesso di costruire;Rilasciata;2009-02-05;61360;11;;VIA DEL VETRAIO N.  11
230740;2008;2008-09-26;permesso di costruire;Rilasciata con prescrizioni;2009-02-20;38650;;;VIA DEL MILLIARIO  ( Civico da definire )
232493;2008;2008-09-29;permesso di costruire;Rilasciata;2009-06-12;34200;9;;VIA S.MAMOLO N.  9
242172;2008;2008-10-09;permesso di costruire;Rilasciata;2009-04-21;7000;11;;VIA GIUSEPPE BENTIVOGLI N.  11
250808;2008;2008-10-20;permesso di costruire;Rilasciata con prescrizioni;2009-10-06;63100;28;;VIA FRANCESCO ZANARDI N.  28
251817;2008;2008-10-21;permesso di costruire;Rilasciata con prescrizioni;2009-03-10;750;10;;VIA AGUCCHI N.  10
253925;2008;2008-10-23;permesso di costruire;Rilasciata con prescrizioni;2009-04-17;21350;137;;VIA EMILIA LEVANTE N.  137 piano 4°
255373;2008;2008-10-24;permesso di costruire;Rilasciata;2009-12-11;29150;20;;VIA FRATELLI GRUPPI N.  20
265332;2008;2008-11-05;permesso di costruire;Rilasciata con prescrizioni;2009-02-06;63100;41;;VIA FRANCESCO ZANARDI N.  41
261638;2008;2008-10-31;permesso di costruire;Rilasciata;2009-02-20;43580;10;;VIA ANDREA PALLADIO N.  10
282083;2008;2008-11-26;permesso di costruire;Rilasciata;2009-03-17;42350;35;;VIALE ALFREDO ORIANI N.  35
284200;2008;2008-11-27;permesso di costruire;Rilasciata;2009-03-27;54180;12;;VIA DEL SELCIATORE N.  12
288004;2008;2008-12-03;permesso di costruire;Rilasciata;2009-03-16;18180;21;;VIA CRACOVIA N.  21
291685;2008;2008-12-09;permesso di costruire;Rilasciata;2009-01-12;27930;1;;VIA STEFANO GOBATTI N.  1
293296;2008;2008-12-10;permesso di costruire;Rilasciata;2011-06-27;11130;;;VIA CADUTI DI CASTELDEBOLE  ( Civico da definire )
300126;2008;2008-12-18;permesso di costruire;Rilasciata;2009-05-14;54320;7;;VIA SERAGNOLI N.  7
302359;2008;2008-12-22;permesso di costruire;Rilasciata;2009-09-16;47230;38;;VIA PONTEVECCHIO N.  38
303574;2008;2008-12-23;permesso di costruire;Rilasciata;2009-07-10;750;121;4;VIA AGUCCHI N.  121 / 4
1620;2009;2009-01-07;permesso di costruire;Rilasciata;2009-07-10;4850;19;;VIA DELLA BARCA N.  19
3376;2009;2009-01-08;permesso di costruire;Rilasciata con prescrizioni;2010-04-22;23330;1;5;VIA DEL FONDITORE N.  1 / 5
3536;2009;2009-01-09;permesso di costruire;Rilasciata;2010-07-06;55350;;;VIA DEL SOSTEGNAZZO
3597;2009;2009-01-09;permesso di costruire;Rilasciata;2009-07-10;7400;8;a;VIA ELIO BERNARDI N.  8 / a
4734;2009;2009-01-12;permesso di costruire;Rinunciata;2009-07-17;31370;43;;VIALE ILIC ULJANOV LENIN N.  43
5725;2009;2009-01-13;permesso di costruire;Rilasciata;2009-05-08;17950;203;;VIA DI CORTICELLA N.  203
5843;2009;2009-01-13;permesso di costruire;Rilasciata con prescrizioni;2010-02-17;22400;162;2;VIA FERRARESE N.  162 / 2
9062;2009;2009-01-16;permesso di costruire;Rilasciata;2009-03-17;5800;172;;VIA BATTINDARNO N.  172
10394;2009;2009-01-19;permesso di costruire;Rilasciata;2009-07-07;47700;14;;VIA DEL POZZO N.  14
11203;2009;2009-01-20;permesso di costruire;Rilasciata;2009-05-20;18000;196;;VIA ANDREA COSTA N.  196
13239;2009;2009-01-21;permesso di costruire;Rinunciata;2012-01-20;53300;19;;VIA S.SAVINO N.  19
14740;2009;2009-01-23;permesso di costruire;Rilasciata;2009-07-22;17950;102;;VIA DI CORTICELLA N.  102
18020;2009;2009-01-28;permesso di costruire;Rilasciata;2009-08-05;17400;81;;VIA CRISTOFORO COLOMBO N.  81
30399;2009;2009-02-11;permesso di costruire;Diniegata;2009-08-12;17400;111;;VIA CRISTOFORO COLOMBO N.  111
40284;2009;2009-02-20;permesso di costruire;Diniegata;2010-03-24;53350;38;;VIA LODOVICO SAVIOLI N.  38
43178;2009;2009-02-24;permesso di costruire;Rilasciata;2009-12-03;20500;213;;VIA S.DONATO N.  213
45664;2009;2009-02-25;permesso di costruire;Rilasciata;2010-02-11;38750;4;;PIAZZA MINGHETTI N.  4
46431;2009;2009-02-26;permesso di costruire;Rinunciata;2009-10-20;47030;10;;VIA AUGUSTO POLLASTRI N.  10
96221;2009;2009-04-23;permesso di costruire;Rilasciata;2009-07-30;54320;7;;VIA SERAGNOLI N.  7
106787;2009;2009-05-05;permesso di costruire;Rilasciata;2010-05-27;53300;37;;VIA S.SAVINO N.  37
122973;2009;2009-05-19;permesso di costruire;Rilasciata;2010-03-04;18150;1;;PIAZZA DELLA COSTITUZIONE N.  1
127595;2009;2009-05-22;permesso di costruire;Rilasciata;2009-10-19;62700;12;;VIA ERMETE ZACCONI N.  12
138165;2009;2009-06-01;permesso di costruire;Decaduta;2010-07-19;20500;;;VIA S.DONATO
140082;2009;2009-06-04;permesso di costruire;Rinunciata;2010-07-01;46650;2;11;VIA PO N.  2 / 11
151157;2009;2009-06-15;permesso di costruire;Rilasciata;2009-11-05;32280;6;;VIA DEL LITOGRAFO N.  6
180903;2009;2009-07-13;permesso di costruire;Rilasciata con prescrizioni;2009-12-28;50780;21;;VIALE ROMA N.  21
227890;2009;2009-09-16;permesso di costruire;Rinunciata;2010-03-22;36800;209;;VIA GIUSEPPE MASSARENTI N.  209
268955;2009;2009-10-30;permesso di costruire;Rilasciata;2010-04-20;23580;19;;VIA GHERARDO FORNI N.  19
290066;2009;2009-11-25;permesso di costruire;Diniegata;2010-05-12;17950;214;;VIA DI CORTICELLA N.  214
298515;2009;2009-12-04;permesso di costruire;Rinunciata;2010-03-22;6150;9;;VIA BELLACOSTA N.  9
306442;2009;2009-12-16;permesso di costruire;Rilasciata con prescrizioni;2011-09-05;61150;18;;VIA VERMENA N.  18
55610;2010;2010-03-03;permesso di costruire;Rilasciata;2010-09-29;57450;5;;VIA TEVERE N.  5
56721;2010;2010-03-04;permesso di costruire;Rilasciata con prescrizioni;2010-10-12;37300;174;;VIA MAZZINI N.  174
68757;2010;2010-03-18;permesso di costruire;Rilasciata con prescrizioni;2010-08-05;21350;18;;VIA EMILIA LEVANTE N.  18
94802;2010;2010-04-20;permesso di costruire;Rilasciata;2010-08-10;20500;178;2;VIA S.DONATO N.  178 / 2
97854;2010;2010-04-22;permesso di costruire;Rilasciata con prescrizioni;2019-03-14;57900;;;VIA DELLE TOFANE in prossimità civ. 34
104634;2010;2010-04-28;permesso di costruire;Rilasciata;2010-08-10;20700;16;;VIA DOSSO DOSSI N.  16
115309;2010;2010-05-07;permesso di costruire;Diniegata;2011-06-29;15200;;;VIA ANTONIO CAVALIERI DUCATI  ( Civico da definire )
133222;2010;2010-05-26;permesso di costruire;Rilasciata;2011-11-24;4850;33;2;VIA DELLA BARCA N.  33 / 2
188983;2010;2010-07-22;permesso di costruire;Concluso   Esito positivo;2010-10-06;37300;33;;VIA MAZZINI N.  33
192172;2010;2010-07-28;permesso di costruire;Rilasciata;2010-12-23;37350;8;;VIA CORRADO MAZZONI N.  8
196911;2010;2010-08-03;permesso di costruire;Rilasciata con prescrizioni;2011-02-24;36800;221;5;VIA GIUSEPPE MASSARENTI N.  221 / 5
221622;2010;2010-09-14;permesso di costruire;Rilasciata;2010-11-03;35100;;;VIA MARCO EMILIO LEPIDO  ( Civico da definire )
248258;2010;2010-10-13;permesso di costruire;Diniegata;2011-05-27;18000;174;;VIA ANDREA COSTA N.  174
249264;2010;2010-10-14;permesso di costruire;Diniegata;2011-10-06;25420;1;;VIA PIETRO GAMBERINI N.  1
295438;2010;2010-12-09;permesso di costruire;Rilasciata;2011-04-18;30450;90;;VIA S.ISAIA N.  90
306162;2010;2010-12-22;permesso di costruire;Rinunciata;2011-06-14;19340;2;;VIA DEL DECORATORE N.  2
1586;2011;2011-01-05;permesso di costruire;Diniegata;2011-04-07;37000;84;24;VIA ENRICO MATTEI N.  84 / 24
10742;2011;2011-01-20;permesso di costruire;Rilasciata;2011-04-01;37100;14;3;VIA GIACOMO MATTEOTTI N.  14 / 3
29397;2011;2011-02-10;permesso di costruire;Rinunciata;2012-04-26;28350;10;;VIA DEL GOMITO N.  10
41187;2011;2011-02-23;permesso di costruire;Rinunciata;2011-05-10;11950;47;;VIA ALFREDO CALZOLARI N.  47
48234;2011;2011-03-03;permesso di costruire;Rinunciata su istanza di parte;2011-06-30;23250;23;;VIA ALESSANDRO FLEMING N.  23
53709;2011;2011-03-10;permesso di costruire;Rinunciata;2011-11-24;44680;16;;VIA VITTORIO PEGLION N.  16
120364;2011;2011-05-25;permesso di costruire;Rilasciata;2011-11-30;17810;9;;VIA NATALINO CORAZZA N.  9
122183;2011;2011-05-26;permesso di costruire;Rilasciata con prescrizioni;2012-01-17;11950;47;;VIA ALFREDO CALZOLARI N.  47
127727;2011;2011-06-01;permesso di costruire;Rilasciata con prescrizioni;2011-11-07;24730;5;;VIA FRIULI-VENEZIA GIULIA N.  5
133631;2011;2011-06-08;permesso di costruire;Rinunciata;2011-09-09;15850;2;2;VIA CERODOLO N.  2 / 2
166242;2011;2011-07-07;permesso di costruire;Rilasciata;2011-09-12;1050;32;;VIA ADOLFO ALBERTAZZI N.  32
180691;2011;2011-07-26;permesso di costruire;Rilasciata;2011-10-21;58900;1;;VIA DEL TRAGHETTO N.  1
182357;2011;2011-07-28;permesso di costruire;Rinunciata;2012-02-10;7950;1;;VIA NINO BERTOCCHI N.  1
187256;2011;2011-08-04;permesso di costruire;Rinunciata;2011-12-22;5800;91;;VIA BATTINDARNO N.  91
246207;2011;2011-10-20;permesso di costruire;Rilasciata con prescrizioni;2012-03-08;9100;45;;VIA ANTONIO BONDI N.  45
253659;2011;2011-10-28;permesso di costruire;Rinunciata;2012-05-16;5800;91;;VIA BATTINDARNO N.  91
273567;2011;2011-11-24;permesso di costruire;Rilasciata con prescrizioni;2012-06-12;45870;11;;VIA SAN PIER TOMMASO N.  11
278242;2011;2011-11-30;permesso di costruire;Rilasciata con prescrizioni;2012-10-17;9830;2;;VIA GIUSEPPE BOSI N.  2
279076;2011;2011-12-01;permesso di costruire;Rilasciata;2012-04-13;54320;7;;VIA SERAGNOLI N.  7
279105;2011;2011-12-01;permesso di costruire;Rilasciata con prescrizioni;2012-08-08;20700;9;;VIA DOSSO DOSSI N.  9 nelle vicinanze del numero civico 9
283850;2011;2011-12-07;permesso di costruire;Rilasciata con prescrizioni;2012-07-27;55950;71;;VIA STALINGRADO N.  71
293486;2011;2011-12-21;permesso di costruire;Rilasciata;2012-10-29;17200;59;;VIA DEI COLLI N.  59
1186;2012;2012-01-03;permesso di costruire;Rilasciata;2012-06-05;18150;1;;PIAZZA DELLA COSTITUZIONE N.  1
12184;2012;2012-01-19;permesso di costruire;Diniegata;2012-07-10;50570;53;;VIA GIUSEPPE RIVANI N.  53
12225;2012;2012-01-19;permesso di costruire;Rinunciata;2012-04-04;54580;29;;VIA WILLIAM SHAKESPEARE N.  29
37959;2012;2012-02-16;permesso di costruire;Rilasciata con prescrizioni;2012-07-27;7950;1;;VIA NINO BERTOCCHI N.  1
69361;2012;2012-03-21;permesso di costruire;Diniegata;2012-07-05;52250;9;;VIA DI SABBIUNO N.  9
104390;2012;2012-05-03;permesso di costruire;Rilasciata con prescrizioni;2013-01-22;6150;5;;VIA BELLACOSTA N.  5  -  7
114912;2012;2012-05-11;permesso di costruire;Rilasciata con prescrizioni;2012-11-06;46000;13;;VIALE PIETRO PIETRAMELLARA N.  13
181476;2012;2012-07-26;permesso di costruire;Rilasciata;2012-10-16;52550;24;;VIA DELLA SALUTE N.  24
191572;2012;2012-08-09;permesso di costruire;Rinunciata;2013-01-22;28350;;;VIA DEL GOMITO  ( Civico da definire )
233827;2012;2012-10-03;permesso di costruire;Rilasciata;2012-11-30;23050;42;2;VIA ARISTOTILE FIORAVANTI N.  42 / 2
243222;2012;2012-10-15;permesso di costruire;Rilasciata con prescrizioni;2013-01-31;29550;76;;VIA GUELFA N.  76
257821;2012;2012-10-31;permesso di costruire;Rinunciata;2013-02-22;51050;4;;VIA DI RONCRIO N.  4
267717;2012;2012-11-13;permesso di costruire;Attesa esito ricorso;2018-07-06;45740;;;VIA GASTONE PICCININI
291962;2012;2012-12-13;permesso di costruire;Rilasciata con prescrizioni;2013-03-12;3250;38;;VIA BRUNO ARNAUD N.  38
296832;2012;2012-12-19;permesso di costruire;Rilasciata;2013-02-20;55950;71;;VIA STALINGRADO N.  71
16736;2013;2013-01-24;permesso di costruire;Rilasciata con prescrizioni;2013-10-11;20080;46;;VIA QUIRINO DI MARZIO N.  46 48-50
75595;2013;2013-04-03;permesso di costruire;Rilasciata;2013-09-20;24050;11;;VIA FRABAZZA N.  11
85377;2013;2013-04-12;permesso di costruire;Rilasciata;2013-09-10;48750;8;;VIA QUARTO DI SOPRA N.  8
96233;2013;2013-04-24;permesso di costruire;Diniegata;2016-07-27;13900;;;VIA DI CASAGLIA  ( Civico da definire )
121473;2013;2013-05-20;permesso di costruire;Decaduta;2014-06-25;20830;24;;VIA GIUSEPPE DOZZA N.  24
138598;2013;2013-06-06;permesso di costruire;Rilasciata;2013-09-10;4750;11;;VIA DI BARBIANO N.  11
153080;2013;2013-06-20;permesso di costruire;Rinunciata;2014-09-08;59350;13;;VIA DEL TRIUMVIRATO N.  13
159845;2013;2013-06-26;permesso di costruire;Rilasciata con prescrizioni;2013-12-19;37000;44;;VIA ENRICO MATTEI N.  44
168598;2013;2013-07-03;permesso di costruire;Rilasciata;2013-10-04;32180;5;;VIALE ABRAMO LINCOLN N.  5
175083;2013;2013-07-10;permesso di costruire;Diniegata;2015-02-02;62300;10;;VIA DEL VIVAIO N.  10
192131;2013;2013-07-30;permesso di costruire;Rilasciata con prescrizioni;2013-11-25;62400;21;;VIA POMPEO VIZZANI N.  21
271251;2013;2013-10-23;permesso di costruire;Rilasciata;2014-05-06;22600;10;;VIA DELLA FERRIERA N.  10
283614;2013;2013-11-06;permesso di costruire;Diniegata;2014-09-24;30180;;;VIA DELL'INDUSTRIA  ( Civico da definire )
319233;2013;2013-12-12;permesso di costruire;Rilasciata con prescrizioni;2014-09-04;24000;29;;VIA FOSSOLO N.  29
10526;2014;2014-01-15;permesso di costruire;Rilasciata con prescrizioni;2014-07-08;13500;13;;VIA DE' CARRACCI N.  13
13807;2014;2014-01-17;permesso di costruire;Rilasciata;2014-01-28;58300;4;;VIA DELLA TORRE N.  4
27062;2014;2014-01-30;permesso di costruire;Rilasciata con prescrizioni;2014-06-11;8100;;;VIA DELLA BEVERARA
42337;2014;2014-02-13;permesso di costruire;Rinunciata;2015-03-09;2900;49;2;VIA DELL'ARCOVEGGIO N.  49 / 2
50064;2014;2014-02-19;permesso di costruire;Rilasciata con prescrizioni;2014-09-02;55950;;;VIA STALINGRADO  ( Civico da definire )
77292;2014;2014-03-13;permesso di costruire;Rilasciata;2014-10-01;31150;5;;VIA SILVESTRO LEGA N.  5
82800;2014;2014-03-19;permesso di costruire;Rilasciata;2014-07-24;13900;53;3;VIA DI CASAGLIA N.  53 / 3
89227;2014;2014-03-26;permesso di costruire;Rilasciata;2014-10-30;54650;77;2;VIA SIEPELUNGA N.  77 / 2
128884;2014;2014-05-06;permesso di costruire;Rilasciata;2014-08-19;50900;12;4;VIA ROMITA N.  12 / 4
158614;2014;2014-05-29;permesso di costruire;Rilasciata;2014-09-10;43600;4;;VIA PALLAVICINI N.  4
164576;2014;2014-06-04;permesso di costruire;Rilasciata con prescrizioni;2015-01-08;36650;40;;VIA ERNESTO MASI N.  40
24263;2008;2008-01-30;permesso di costruire a parziale sanatoria;Rinunciata;2008-03-13;38450;8;;VIA FULVIO MILANI N.  8
48871;2008;2008-02-27;permesso di costruire a parziale sanatoria;Rilasciata;2008-10-14;36800;161;;VIA GIUSEPPE MASSARENTI N.  161
80614;2008;2008-04-08;permesso di costruire a parziale sanatoria;Rilasciata con prescrizioni;2008-12-23;21750;1;12;VIA DEL FAGGIOLO N.  1 / 12
81885;2008;2008-04-09;permesso di costruire a parziale sanatoria;Rilasciata;2008-11-11;23330;9;;VIA DEL FONDITORE N.  9
106222;2008;2008-05-07;permesso di costruire a parziale sanatoria;Rilasciata;2008-11-19;28350;30;3;VIA DEL GOMITO N.  30 / 3  ( Civico da definire )
148386;2008;2008-06-12;permesso di costruire a parziale sanatoria;Rilasciata con prescrizioni;2008-11-11;60230;25;;VIA VALLE D'AOSTA N.  25
182560;2008;2008-07-15;permesso di costruire a parziale sanatoria;Rilasciata;2008-11-10;37750;40;;VIA GIUSEPPE MENGONI N.  40
211668;2008;2008-09-05;permesso di costruire a parziale sanatoria;Rinunciata;2010-05-04;35100;39;;VIA MARCO EMILIO LEPIDO N.  39
219607;2008;2008-09-15;permesso di costruire a parziale sanatoria;Rilasciata;2009-02-23;56330;5;;VIA RICCARDO STRACCIARI N.  5
25294;2009;2009-02-05;permesso di costruire a parziale sanatoria;Rilasciata;2009-08-05;37100;6;;VIA GIACOMO MATTEOTTI N.  6
90437;2009;2009-04-17;permesso di costruire a parziale sanatoria;Rilasciata;2010-02-02;17400;91;;VIA CRISTOFORO COLOMBO N.  91
123260;2009;2009-05-19;permesso di costruire a parziale sanatoria;Rilasciata;2010-04-08;33200;1;2;VIA AMBROGIO MAGENTA N.  1 / 2
307571;2009;2009-12-17;permesso di costruire a parziale sanatoria;Rinunciata;2011-11-08;1850;3;;VIA ALTURA N.  3
19340;2010;2010-01-28;permesso di costruire a parziale sanatoria;Concluso   Esito positivo;2010-02-10;50550;58;;VIA RIVA DI RENO N.  58
55644;2011;2011-03-14;permesso di costruire a parziale sanatoria;Acquisita in ingresso;2011-03-14;30580;8;;ROTONDA ITALIA N.  8
115086;2011;2011-05-19;permesso di costruire a parziale sanatoria;Rilasciata con prescrizioni;2012-06-12;54580;29;;VIA WILLIAM SHAKESPEARE N.  29
38647;2012;2012-02-16;permesso di costruire a parziale sanatoria;Rilasciata con prescrizioni;2012-06-08;11120;2;;VIA CADUTI DI AMOLA N.  2
130288;2012;2012-05-30;permesso di costruire a parziale sanatoria;Rilasciata;2012-10-25;5800;91;;VIA BATTINDARNO N.  91
22527;2008;2008-01-29;permesso di costruire a sanatoria;Rilasciata;2008-10-17;52450;7;;VIA DI SALICETO N.  7
39656;2008;2008-02-15;permesso di costruire a sanatoria;Rilasciata;2008-10-23;30450;25;;VIA S.ISAIA N.  25
56882;2008;2008-03-06;permesso di costruire a sanatoria;Rilasco parziale - Diniego parziale;2012-04-13;58600;170;;VIA TOSCANA N.  170
118361;2008;2008-05-19;permesso di costruire a sanatoria;Rilasciata;2008-07-25;17950;91;;VIA DI CORTICELLA N.  91
247569;2008;2008-10-15;permesso di costruire a sanatoria;;;15150;;;VIA CAVAIONI  ( Civico da definire )
274971;2008;2008-11-18;permesso di costruire a sanatoria;Rilasciata;2009-02-24;22400;219;6;VIA FERRARESE N.  219 / 6
297517;2008;2008-12-16;permesso di costruire a sanatoria;Rilasciata;2009-04-29;17950;191;;VIA DI CORTICELLA N.  191
301766;2008;2008-12-19;permesso di costruire a sanatoria;parziale Rilasciata e parziale diniego;2009-06-24;9300;2;;VIA FRATELLI BORDONI N.  2
307055;2008;2008-12-30;permesso di costruire a sanatoria;Rilasciata;2009-07-07;52450;9;;VIA DI SALICETO N.  9
9588;2009;2009-01-16;permesso di costruire a sanatoria;Rilasciata;2009-11-20;58900;;;VIA DEL TRAGHETTO
64282;2009;2009-03-18;permesso di costruire a sanatoria;Decaduta;2010-01-27;17400;111;;VIA CRISTOFORO COLOMBO N.  111
75459;2009;2009-03-31;permesso di costruire a sanatoria;Rilasciata;2009-12-10;22050;27;;VIA GIOVANNI FATTORI N.  27
81640;2009;2009-04-07;permesso di costruire a sanatoria;Rilasciata;2009-05-29;52400;12;;VIA AURELIO SAFFI N.  12
85940;2009;2009-04-10;permesso di costruire a sanatoria;Rilasciata;2009-07-22;40910;12;2;VIA PAOLO NANNI COSTA N.  12 / 2
90501;2009;2009-04-17;permesso di costruire a sanatoria;Diniegata;2009-09-17;47300;119;;VIA PORRETTANA N.  119
95185;2009;2009-04-22;permesso di costruire a sanatoria;Rilasciata;2009-06-30;54850;4;;VIA CARLO SIGONIO N.  4
116672;2009;2009-05-13;permesso di costruire a sanatoria;Rilasciata;2009-10-01;11130;1;;VIA CADUTI DI CASTELDEBOLE N.  1
121185;2009;2009-05-18;permesso di costruire a sanatoria;Rilasciata;2009-09-09;21430;34;;VIA FEDERIGO ENRIQUES N.  34 p.t.
121642;2009;2009-05-18;permesso di costruire a sanatoria;;;42800;7;2;VIA DELL'OSPEDALETTO N.  7 / 2
138118;2009;2009-06-01;permesso di costruire a sanatoria;Rilasciata;2012-04-23;500;7;;VIA DELL'AEROPORTO N.  7
138371;2009;2009-06-01;permesso di costruire a sanatoria;Rinunciata;2010-04-01;500;7;;VIA DELL'AEROPORTO N.  7
141418;2009;2009-06-04;permesso di costruire a sanatoria;Rinunciata;2010-04-01;500;7;;VIA DELL'AEROPORTO N.  7
305159;2009;2009-12-15;permesso di costruire a sanatoria;Rilasciata;2010-05-18;13500;8;11;VIA DE' CARRACCI N.  8 / 11
76610;2010;2010-03-26;permesso di costruire a sanatoria;Diniegata;2010-08-26;46100;9;2;VIA DEL PILASTRO N.  9 / 2
168991;2013;2013-07-04;permesso di costruire a sanatoria;Rilasciata con prescrizioni;2014-03-27;17400;93;;VIA CRISTOFORO COLOMBO N.  93
243329;2013;2013-09-25;permesso di costruire a sanatoria;Rilasciata;2014-09-12;63100;;;VIA FRANCESCO ZANARDI  ( Civico da definire )
478806;2019;2019-10-29;permesso di costruire a sanatoria con lavori LR 15/2013;Concluso   Esito negativo;2020-11-17;63100;127;;VIA FRANCESCO ZANARDI N.  127 INTERNO 1-2  PIANO 1
402266;2020;2020-10-08;permesso di costruire a sanatoria con lavori LR 15/2013;Efficace;2021-07-16;15550;18;8;VIA DELLA CAVRIOLA N.  18 / 8 INTERNO 0
